L -1400.7155, 463.5299, -65.7331,  -1400.7161, 440.9637, -65.7333,  0, 0, 0
L -1400.7161, 440.9637, -65.7296,  -1391.4393, 440.9637, -65.7296,  0, 0, 0
L -1391.4393, 440.9637, -66.1722,  -1391.4390, 463.5281, -66.1723,  0, 0, 0
L -1391.4390, 463.5281, -65.7331,  -1400.7155, 463.5299, -65.7333,  0, 0, 0
L -1395.8577, 470.3172, -66.1713,  -1407.1299, 481.3313, -66.1723,  0, 0, 0
L -1407.1299, 481.3313, -66.1715,  -1396.1343, 492.3304, -66.1723,  0, 0, 0
L -1396.1343, 492.3304, -66.1722,  -1384.9224, 481.0956, -66.1715,  0, 0, 0
L -1384.9224, 481.0956, -66.1723,  -1395.8577, 470.3172, -66.1723,  0, 0, 0
L -1406.8833, 425.7788, -66.1714,  -1395.6254, 414.4732, -66.1723,  0, 0, 0
L -1395.6254, 414.4732, -66.1723,  -1384.3850, 425.7710, -66.1723,  0, 0, 0
L -1384.3850, 425.7710, -66.1719,  -1395.6200, 437.0073, -66.1723,  0, 0, 0
L -1395.6200, 437.0073, -66.1711,  -1406.8833, 425.7788, -66.1716,  0, 0, 0
L -1419.9166, 406.4876, -66.8417,  -1360.9658, 406.5436, -66.8417,  240, 240, 240
L -1419.9572, 497.5765, -66.8417,  -1419.9166, 406.4876, -66.8417,  240, 240, 240
L -1419.9572, 497.5765, -66.8417,  -1360.9658, 497.6190, -66.8417,  240, 240, 240
L -1446.9773, 388.0762, -66.8417,  -1461.0336, 388.1241, -66.8417,  127, 64, 0
L -1461.0333, 388.9690, -66.8417,  -1461.0347, 383.0318, -66.8417,  0, 0, 0
L -1461.0347, 383.0318, -66.8417,  -1463.0341, 383.0342, -66.8417,  0, 0, 0
L -1463.0341, 383.0342, -66.8417,  -1463.0341, 255.0338, -66.8417,  0, 0, 0
L -1468.9677, 255.0329, -66.8417,  -1463.0341, 255.0338, -66.8417,  0, 0, 0
L -1463.0339, 240.9651, -66.8417,  -1463.0319, -78.9671, -66.8417,  0, 0, 0
L -1463.0319, -78.9671, -66.8417,  -1483.0341, -78.9658, -66.8417,  0, 0, 0
L -1483.0341, -78.9658, -66.8417,  -1483.0326, -80.9648, -66.8417,  0, 0, 0
L -1483.0326, -80.9648, -66.8417,  -1488.9674, -80.9675, -66.8417,  0, 0, 0
L -1488.9674, -80.9675, -66.8417,  -1488.9656, 49.0344, -66.8417,  0, 0, 0
L -1488.9656, 49.0344, -66.8417,  -1591.0339, 49.0340, -66.8417,  0, 0, 0
L -1591.0339, 49.0340, -66.8417,  -1591.0326, -178.9666, -66.8417,  0, 0, 0
L -1591.0326, -178.9666, -66.8417,  -1596.9640, -178.9651, -66.8417,  0, 0, 0
L -1596.9640, -178.9651, -66.8417,  -1596.9666, -176.9658, -66.8417,  0, 0, 0
L -1616.9690, -176.9677, -66.8417,  -1596.9663, -176.9658, -66.8417,  0, 0, 0
L -1616.9690, -176.9677, -66.8417,  -1616.9657, -36.9655, -66.8417,  0, 0, 0
L -1616.9657, -36.9655, -66.8417,  -1715.0339, -36.9660, -66.8417,  0, 0, 0
L -1715.0339, -36.9660, -66.8417,  -1715.0331, -96.9659, -66.8417,  0, 0, 0
L -1715.0331, -96.9659, -66.8417,  -1801.0342, -96.9658, -66.8417,  0, 0, 0
L -1801.0342, -96.9658, -66.8417,  -1801.0261, -176.9661, -66.8417,  0, 0, 0
L -1801.0261, -176.9661, -66.8417,  -1822.9667, -176.9672, -66.8417,  0, 0, 0
L -908.9658, 98.2200, -83.8417,  -908.9657, 48.9658, -83.8417,  125, 25, 0
L -908.9657, 48.9658, -83.8417,  -982.0341, 48.9658, -83.8417,  125, 25, 0
L -982.0341, 48.9658, -83.8417,  -982.0338, 55.2565, -83.8417,  0, 0, 0
L -982.0338, 55.2565, -83.8417,  -993.9661, 55.2562, -83.8417,  0, 0, 0
L -993.9657, 48.9662, -83.8417,  -993.9661, 55.2562, -83.8417,  0, 0, 0
L -957.0339, 98.6080, -83.8417,  -957.0337, 97.0337, -83.8417,  125, 25, 0
L -957.0337, 97.0337, -83.8417,  -982.0251, 97.0343, -83.8417,  125, 25, 0
L -982.0251, 97.0343, -83.8417,  -982.0369, 90.5921, -83.8417,  0, 0, 0
L -957.0339, 98.6080, -83.8417,  -908.9658, 98.5130, -83.8417,  255, 0, 255
L -982.0369, 90.5921, -83.8418,  -993.9663, 90.5907, -83.8417,  0, 0, 0
L -993.9663, 90.5907, -83.8417,  -993.9656, 97.0343, -83.8416,  0, 0, 0
L -993.9656, 97.0343, -83.8416,  -1014.0343, 97.0342, -83.8417,  125, 25, 0
L -1014.0343, 97.0342, -83.8417,  -1014.0331, 90.5916, -83.8417,  0, 0, 0
L -1014.0331, 90.5916, -83.8417,  -1025.9641, 90.5916, -83.8417,  0, 0, 0
L -1025.9641, 90.5916, -83.8417,  -1025.9655, 97.0342, -83.8417,  0, 0, 0
L -1025.9655, 97.0342, -83.8417,  -1045.0342, 97.0342, -83.8410,  125, 25, 0
L -1045.0342, 97.0342, -83.8410,  -1045.0333, 90.5917, -83.8417,  0, 0, 0
L -1045.0333, 90.5917, -83.8417,  -1056.9689, 90.5908, -83.8417,  0, 0, 0
L -1054.6849, 90.5910, -83.8417,  -1054.6849, 90.5910, -83.8417,  0, 0, 0
L -1056.9689, 90.5908, -83.8417,  -1056.9657, 97.0342, -83.8417,  0, 0, 0
L -1056.9657, 97.0342, -83.8417,  -1079.0297, 97.0347, -83.8407,  125, 25, 0
L -1079.0339, 97.0335, -83.8417,  -1079.0336, 80.0348, -83.8417,  125, 25, 0
L -1079.0331, 65.9659, -83.8417,  -1079.0343, 48.9655, -83.8416,  125, 25, 0
L -1079.0343, 48.9655, -83.8416,  -1056.9655, 48.9656, -83.8416,  125, 25, 0
L -1056.9655, 48.9656, -83.8416,  -1056.9662, 55.4072, -83.8417,  0, 0, 0
L -1056.9662, 55.4072, -83.8427,  -1045.0336, 55.4087, -83.8417,  0, 0, 0
L -1045.0336, 55.4087, -83.8417,  -1045.0342, 48.9655, -83.8416,  0, 0, 0
L -1045.0342, 48.9655, -83.8416,  -1025.9659, 48.9658, -83.8417,  125, 25, 0
L -1025.9659, 48.9658, -83.8417,  -1025.9657, 55.4074, -83.8417,  0, 0, 0
L -1025.9658, 52.5592, -83.8417,  -1025.9658, 52.5597, -83.8417,  0, 0, 0
L -1025.9657, 55.4074, -83.8417,  -1014.0295, 55.4089, -83.8417,  0, 0, 0
L -1014.0295, 55.4089, -83.8417,  -1014.0341, 48.9653, -83.8407,  0, 0, 0
L -1014.0341, 48.9653, -83.8407,  -993.9655, 48.9656, -83.8415,  125, 25, 0
L -1079.0331, 65.9659, -83.8417,  -1084.9369, 65.9654, -83.8410,  125, 25, 0
L -1079.0336, 80.0348, -83.8417,  -1084.9664, 80.0337, -83.8417,  125, 25, 0
L -1083.2958, 80.0340, -83.8417,  -1083.2958, 80.0340, -83.8417,  125, 25, 0
L -1084.9664, 80.0337, -83.8417,  -1084.9656, 86.0341, -83.8417,  125, 25, 0
L -1084.9656, 86.0341, -83.8417,  -1088.9658, 86.0341, -83.8417,  125, 25, 0
L -1088.9658, 86.0341, -83.8417,  -1088.9656, 139.0343, -83.8417,  0, 0, 0
L -1088.9656, 139.0343, -83.8417,  -1186.9642, 139.0302, -83.8417,  0, 0, 0
L -1186.9642, 139.0302, -83.8417,  -1186.9695, 144.9680, -83.8417,  0, 0, 0
L -1186.9695, 144.9680, -83.8417,  -1184.9657, 144.9658, -83.8417,  0, 0, 0
L -1184.9657, 144.9658, -83.8417,  -1184.9658, 204.9656, -83.8417,  0, 0, 0
L -1184.9658, 204.9656, -83.8417,  -1170.8712, 204.9677, -87.8417,  0, 0, 0
L -1170.8712, 204.9677, -87.8417,  -1164.9653, 204.9658, -87.8417,  0, 0, 0
L -1164.9653, 204.9658, -87.8417,  -1164.9661, 206.9659, -87.8417,  0, 0, 0
L -1164.9661, 206.9659, -87.8417,  -1159.0330, 206.9661, -87.8417,  0, 0, 0
L -1159.0330, 206.9661, -87.8417,  -1159.0339, 148.9660, -87.8417,  0, 0, 0
L -1159.0339, 148.9660, -87.8417,  -1088.9656, 148.9657, -87.8417,  0, 0, 0
L -1088.9656, 148.9657, -87.8417,  -1088.9656, 287.0343, -87.8417,  0, 0, 0
L -1088.9656, 287.0343, -87.8417,  -1159.0342, 287.0344, -87.8417,  0, 0, 0
L -1159.0342, 287.0344, -87.8417,  -1159.0333, 221.0316, -87.8417,  0, 0, 0
L -1159.0333, 221.0316, -87.8417,  -1164.9688, 221.0388, -87.8417,  0, 0, 0
L -1163.8204, 221.0374, -87.8417,  -1163.8483, 206.9667, -87.8417,  127, 64, 0
L -1164.9688, 221.0388, -87.8417,  -1164.9655, 223.0342, -87.8417,  0, 0, 0
L -1164.9655, 223.0342, -87.8417,  -1268.9658, 223.0341, -83.8417,  0, 0, 0
L -1268.9658, 223.0341, -83.8417,  -1268.9657, 243.0342, -83.8417,  0, 0, 0
